,importance
rad_diffuse,0.4458252205613699
humidity,0.10702297516355917
soiltemp,0.07826923670061384
pressure,0.0709478259117483
wind_dir,0.04984492163623668
dewpoint,0.039393042542638014
rad_global,0.03323660195220753
rad_long,0.026137299770052618
temp_max,0.023169159642320004
temp_min,0.021798375645536577
wind_speed_max,0.02111968202679101
temp,0.017830411818511863
wind_gust,0.017157929492325447
wind_speed_min,0.012390529826788841
precip_dur,0.01230948910014489
wind_speed,0.010782410284130484
sunshine,0.006185952108366954
precip_ind,0.003971447049343057
precip,0.002607488767314679
