,importance
dewpoint,0.25659117752850885
pressure,0.24083222917345806
wind_dir,0.07947363818202252
temp_min,0.05935813892520923
wind_gust,0.05233904474686408
rad_long,0.044323319556604124
humidity,0.040561664362766016
temp_max,0.031870592683537015
wind_speed_max,0.02833679860796541
rad_global,0.02711732949647908
rad_diffuse,0.026973564276206296
wind_speed_min,0.024051180392288284
temp,0.02357659992797039
soiltemp,0.021931966369916237
wind_speed,0.020056879894470876
sunshine,0.009184783269274369
precip_dur,0.006261204410612105
precip,0.006035893699306579
precip_ind,0.001123994496540605
