,importance
pressure,0.2337250026125974
wind_speed,0.1510952574149052
wind_dir,0.11162484769945587
humidity,0.10150690201337005
rad_long,0.06387140167556125
dewpoint,0.05482257814699101
temp_min,0.04372001905178949
wind_gust,0.04211549350351946
temp_max,0.03470813197353038
rad_diffuse,0.03336400299373168
soiltemp,0.027006646723276403
rad_global,0.022943236731019286
precip_dur,0.01530686817980415
wind_speed_min,0.014877479795236315
sunshine,0.012560465768756237
temp,0.01252837963780789
wind_speed_max,0.012023855254229693
precip_ind,0.00986769770406068
precip,0.0023317331203574327
