,importance
rad_diffuse,0.26008595811373636
pressure,0.1527983469218998
soiltemp,0.14451309719460087
wind_dir,0.097541104201367
dewpoint,0.06451337857561358
humidity,0.06029820261521954
temp_max,0.033608902267646575
temp_min,0.03247227764094398
rad_global,0.030765946552721607
rad_long,0.025537909322870776
wind_speed_min,0.020554065883885985
temp,0.02026349934221204
wind_speed_max,0.017629037929647418
wind_gust,0.014896588290941877
wind_speed,0.011685934959786572
sunshine,0.005963070498429154
precip_dur,0.0038930653701400213
precip,0.0018460930883275335
precip_ind,0.0011335212300092627
