,importance
rad_diffuse,0.3543846042320669
pressure,0.09598640431363945
dewpoint,0.09513209654344104
rad_long,0.06394952957440551
rad_global,0.0638652110083886
wind_dir,0.061009291961937835
wind_speed,0.0440753391065714
temp_min,0.035321821009621134
humidity,0.033395386979482265
wind_speed_max,0.03199421374680957
soiltemp,0.030458462053341982
temp_max,0.024595840758119544
temp,0.021278179361367968
wind_gust,0.018050150562219102
wind_speed_min,0.010502801028755164
precip_dur,0.008207500435517356
sunshine,0.003915200179430391
precip_ind,0.0023251867888649316
precip,0.001552780356019623
