,importance
rad_diffuse,0.2449501503170776
pressure,0.18069803424385736
dewpoint,0.09380161226111525
humidity,0.06609158002291682
rad_global,0.05651732746005112
wind_dir,0.05597828816970901
soiltemp,0.04938574465603192
wind_speed_max,0.04814239799929183
rad_long,0.035785885627565205
temp_max,0.03213842280207367
wind_speed,0.030633484573240447
wind_gust,0.028107340806285103
wind_speed_min,0.021774890481044605
temp_min,0.02128768293704275
temp,0.020517204137400172
precip_dur,0.005295015070341938
precip,0.003720883774787924
sunshine,0.0034377191874490243
precip_ind,0.001736335472718177
