,importance
temp_min,0.15953856151005347
pressure,0.15788369196757848
rad_global,0.11366750158328641
humidity,0.10652019270777772
wind_dir,0.07608196873989921
dewpoint,0.06698938966007109
rad_diffuse,0.06549259111440749
rad_long,0.056243093492424505
wind_gust,0.037862301857211796
temp_max,0.031902223490280095
soiltemp,0.02792921740629012
wind_speed_max,0.0214548556155732
wind_speed,0.018594700359917747
temp,0.01745889573247246
wind_speed_min,0.016800124794214742
precip_dur,0.014256142673246262
precip_ind,0.004540309873135238
sunshine,0.0035708318946695524
precip,0.0032134055274905607
