,importance
rad_diffuse,0.46237185385597585
pressure,0.0867327695810355
soiltemp,0.0828654509571466
humidity,0.08140817908645423
dewpoint,0.036041435834265084
wind_dir,0.03578100856876192
temp_max,0.030736046679709497
wind_speed,0.027282699378928927
wind_speed_max,0.023761536756110542
temp_min,0.023012218300504032
wind_gust,0.022394054515875943
rad_global,0.0216131086382214
rad_long,0.020028046704138127
temp,0.016890208561791964
wind_speed_min,0.011948889626173234
precip_dur,0.007823617076213358
precip,0.004540700751758161
sunshine,0.0027603833912654397
precip_ind,0.002007791735670225
