,importance
dewpoint,0.2904943407458146
pressure,0.23881864790431812
temp_min,0.1426216658015801
wind_dir,0.07264842840183058
humidity,0.05660455832667641
wind_gust,0.032989652767152114
soiltemp,0.025115866504911953
rad_diffuse,0.021596455306133504
rad_global,0.018063388949379325
temp,0.017929253259735246
wind_speed_max,0.017890152463549257
wind_speed,0.01612903207648198
rad_long,0.015807951392091943
temp_max,0.013797127949906564
wind_speed_min,0.012743630977995664
sunshine,0.0034388921726662552
precip_dur,0.001990586497292097
precip_ind,0.0008058213356265078
precip,0.0005145471668578339
