,importance
rad_long,0.19787647175139808
dewpoint,0.18427892802013315
sunshine,0.1464495011994023
pressure,0.09979159344194052
soiltemp,0.09089224969094425
wind_speed_min,0.06552085133836812
wind_speed,0.05516025885981975
wind_speed_max,0.04722641926820308
temp_max,0.03560441405934428
wind_gust,0.020324475569045507
rad_global,0.01758325476000513
temp_min,0.012762989677539095
temp,0.01088001814534583
wind_dir,0.007065550682468278
rad_diffuse,0.006511337308938704
humidity,0.0020716862271040054
precip_dur,0.0
precip_ind,0.0
precip,0.0
