,importance
pressure,0.5753595387061055
wind_dir,0.10837806947057432
humidity,0.07657222377272185
wind_speed_max,0.05121142210845297
dewpoint,0.05057636871602519
wind_speed,0.0363724830703248
soiltemp,0.027035690916079016
temp,0.02144580789656113
wind_gust,0.008830559867136566
temp_max,0.008165575426358509
temp_min,0.007887173245299875
rad_diffuse,0.007277292425345846
wind_speed_min,0.006941153626236196
rad_long,0.0069001192570612
rad_global,0.004097796405073619
sunshine,0.0018744086369883407
precip_dur,0.0007304835106729727
precip_ind,0.00028678362404146985
precip,5.704931894061891e-05
