,importance
rad_diffuse,0.26725236314475487
pressure,0.1743374972270755
rad_global,0.10895840391281351
wind_dir,0.07910622481578267
humidity,0.060226007494239245
dewpoint,0.05112849037743525
rad_long,0.04146296740899353
temp_max,0.03810300927399345
soiltemp,0.030055622079768547
wind_speed_max,0.029511233302577287
wind_speed_min,0.022143039793883105
wind_speed,0.02207056243171625
temp,0.021264981979420648
temp_min,0.02111777982497354
wind_gust,0.01849825113847441
precip_dur,0.004086847599977026
precip,0.0040490346534798214
sunshine,0.0039031310002827736
precip_ind,0.0027245525403584753
