,importance
pressure,0.21173860617340906
dewpoint,0.14011872181055932
humidity,0.07087141061338784
wind_dir,0.06213876452026252
wind_speed_min,0.05863181906270132
wind_gust,0.05819111135494624
rad_long,0.054606950021001
soiltemp,0.04769499778345248
wind_speed,0.046516206038009246
temp_max,0.046105565685384424
rad_global,0.04237928199255645
wind_speed_max,0.03857186252900872
rad_diffuse,0.038030810959484615
temp_min,0.034144416008047566
temp,0.033465352317231245
sunshine,0.010160266399652531
precip,0.0033538949538250967
precip_dur,0.002391752775671102
precip_ind,0.0008882090014093598
