,importance
rad_diffuse,0.34205026576965936
pressure,0.15734821171761507
dewpoint,0.15659545594329236
temp_min,0.10748831323255635
humidity,0.03400206250396245
wind_dir,0.03093664790452918
soiltemp,0.030291504902134895
temp_max,0.024974021688788917
wind_gust,0.023294074550569616
temp,0.022129778058951964
rad_long,0.018483624280576302
rad_global,0.01608526907554207
wind_speed_max,0.012185280803563363
wind_speed,0.00852009395891786
wind_speed_min,0.00705027057365264
precip_dur,0.0044832075395318935
precip_ind,0.0016148257599516772
sunshine,0.0013380570720131152
precip,0.0011290346641909597
