,importance
pressure,0.2809700124622255
dewpoint,0.1662512638358608
wind_dir,0.12931006300351786
soiltemp,0.06925481670946478
rad_long,0.06244783628791128
wind_speed_max,0.044056284746573054
humidity,0.04298420570702961
temp_max,0.0383972492149261
wind_speed,0.03017097430503567
wind_gust,0.02727364550663615
temp_min,0.02303100389258039
rad_diffuse,0.02295196916324398
temp,0.021051725937064183
wind_speed_min,0.0174804803541368
rad_global,0.015509521120224216
sunshine,0.003996569184911843
precip_dur,0.002758806385034193
precip,0.0013050140108100039
precip_ind,0.0007985581728135856
