,importance
rad_diffuse,0.5015476076790512
humidity,0.10814146330219633
pressure,0.06321210052150925
rad_global,0.04786587324131093
wind_dir,0.04731862254789587
dewpoint,0.04513524342355789
wind_speed,0.037670351700528334
soiltemp,0.021573481603624683
rad_long,0.0202397297046884
wind_gust,0.018616469367249967
temp_max,0.018470047889162167
wind_speed_max,0.014031233494543294
temp_min,0.01393293344329267
temp,0.012710506553843573
wind_speed_min,0.010820101359467668
precip_dur,0.010351915870958146
sunshine,0.00313107565380079
precip_ind,0.0028152827108921096
precip,0.0024159599324268767
