,importance
soiltemp,0.17328592419107483
pressure,0.14900300068851666
dewpoint,0.14640702765332475
wind_dir,0.09372028225101119
humidity,0.08392929228849232
rad_diffuse,0.05334531503828263
rad_long,0.043158123979092536
temp_max,0.042382669131347035
temp_min,0.037542477117085755
temp,0.031662859414094614
rad_global,0.026247298676679298
wind_gust,0.024056067728550956
wind_speed_min,0.023200024200927732
sunshine,0.021813059658598824
wind_speed_max,0.021379181057888465
wind_speed,0.015363685024419682
precip_dur,0.008808331985037708
precip_ind,0.0023879888740300707
precip,0.002307391041545055
