timestamp,actual,predicted,residual,abs_residual
2025-06-01 01:02:34,100.0,7.05,92.95,92.95
2025-05-17 09:39:02,100.0,30.31,69.69,69.69
2025-05-17 12:14:12,56.0,6.87,49.13,49.13
2025-05-17 11:24:09,61.0,23.87,37.129999999999995,37.129999999999995
2025-05-16 12:31:57,45.0,10.39,34.61,34.61
2025-05-17 11:34:10,60.0,25.54,34.46,34.46
2025-05-18 07:51:05,5.0,37.55,-32.55,32.55
2025-05-17 13:14:17,47.0,17.02,29.98,29.98
2025-06-05 14:32:57,34.0,10.82,23.18,23.18
2025-05-17 13:29:18,44.0,22.22,21.78,21.78
2025-05-16 08:30:57,50.0,29.79,20.21,20.21
2025-06-03 09:22:05,46.0,27.2,18.8,18.8
2025-05-17 09:59:03,65.0,46.4,18.6,18.6
2025-05-26 08:06:47,4.0,21.77,-17.77,17.77
2025-06-05 08:09:48,43.0,25.27,17.73,17.73
2025-05-16 08:05:31,48.0,30.37,17.63,17.63
2025-05-26 11:22:41,4.0,21.625,-17.625,17.625
2025-05-26 10:57:39,4.0,21.48,-17.48,17.48
2025-06-05 10:06:05,48.0,30.7,17.3,17.3
2025-05-16 09:16:27,60.0,42.71,17.29,17.29
2025-05-16 08:10:31,44.0,27.22,16.78,16.78
2025-05-17 11:14:09,63.0,46.37,16.630000000000003,16.630000000000003
2025-05-17 11:09:08,63.0,47.87,15.130000000000003,15.130000000000003
2025-05-17 10:54:07,64.0,49.76,14.240000000000002,14.240000000000002
2025-06-05 15:13:02,27.0,13.33,13.67,13.67
2025-06-05 14:42:58,32.0,18.65,13.350000000000001,13.350000000000001
2025-06-03 08:26:11,40.0,26.87,13.129999999999999,13.129999999999999
2025-05-28 13:59:29,5.0,17.39,-12.39,12.39
2025-06-05 15:38:04,22.0,9.8,12.2,12.2
2025-06-05 08:19:49,44.0,31.98,12.02,12.02
2025-05-17 15:14:25,22.0,10.16,11.84,11.84
2025-05-24 11:58:36,6.0,16.58,-10.579999999999998,10.579999999999998
2025-05-26 10:37:38,4.0,14.57,-10.57,10.57
