,importance
wind_dir,0.22113184913091039
pressure,0.14355765774723378
dewpoint,0.12351589739832987
soiltemp,0.1228018367438249
humidity,0.09197870443436308
wind_gust,0.056119119015935276
temp_min,0.03767989174226809
rad_long,0.036794531021484396
rad_global,0.03350430652349061
wind_speed,0.02870927182108518
temp_max,0.022195882932305597
temp,0.017480489543816605
wind_speed_min,0.016697514559447155
rad_diffuse,0.015484139433718675
wind_speed_max,0.011620959544896434
sunshine,0.008967453353796768
precip_dur,0.007698357494510518
precip_ind,0.0037313932129263206
precip,0.0003307443456564679
