,importance
pressure,0.24838858324940327
temp_max,0.23049376700303406
dewpoint,0.09686438766747066
wind_dir,0.05753342908869415
temp_min,0.056367091524637314
humidity,0.051301905524467624
wind_speed_min,0.0463063578766083
rad_global,0.03056163633171152
soiltemp,0.03028869053193792
rad_diffuse,0.0280299702975017
wind_speed,0.02715278379972928
rad_long,0.02452912788335527
wind_gust,0.022748875283546886
temp,0.016923440928679385
wind_speed_max,0.01587545442481911
sunshine,0.0060133614971660905
precip,0.005698662776253043
precip_dur,0.004229687312712854
precip_ind,0.0006927869982715511
