,importance
pressure,0.6092705018891539
wind_dir,0.102626742103921
dewpoint,0.07960665287170333
soiltemp,0.03955581617176746
wind_speed_max,0.03281372747015423
humidity,0.029093265737532285
wind_gust,0.019147853226491072
temp,0.014429357595610781
wind_speed_min,0.012617985997536475
rad_long,0.012507246394599969
rad_diffuse,0.011792431670535225
wind_speed,0.011733607176835498
temp_min,0.008952499888756519
rad_global,0.006299683239346027
temp_max,0.006119659264469457
precip_dur,0.0011406600188351862
sunshine,0.001083638839856791
precip_ind,0.0010176021956404184
precip,0.00019106824725442572
