,importance
rad_diffuse,0.20356196377160343
pressure,0.1606137087426103
soiltemp,0.11709069782323792
dewpoint,0.10558519339234863
wind_dir,0.08956835049946245
humidity,0.08104661955888362
rad_long,0.045874144701920506
temp_max,0.03806111309421022
temp_min,0.029907762024457055
temp,0.02363648507022191
wind_gust,0.023025508691490174
wind_speed_max,0.022465166179874613
rad_global,0.019281918920957427
wind_speed_min,0.012567601325096102
wind_speed,0.012514234792153132
precip_dur,0.006199070188190203
sunshine,0.004856338383441982
precip_ind,0.003352774417378902
precip,0.000791348422461447
