,importance
wind_speed_max,0.20617461600626363
temp_min,0.17136822351055925
dewpoint,0.08943627425398513
rad_diffuse,0.08715913012745079
rad_long,0.0832408082471044
humidity,0.07152679226983
pressure,0.06097982854221626
soiltemp,0.0542024736240738
rad_global,0.03126343427047235
precip,0.031077927118737546
temp,0.029834272196149092
precip_dur,0.025182487875333143
wind_speed,0.014984451883727733
wind_dir,0.013173267802338873
temp_max,0.012524664713897264
wind_gust,0.008044429043020867
precip_ind,0.0035999309956662603
wind_speed_min,0.0033337557650562726
sunshine,0.0028932317541173207
