,importance
pressure,0.34097847337622
dewpoint,0.15774737107256306
wind_dir,0.09671459601553224
temp_min,0.0651110373055131
humidity,0.05259709121053421
temp_max,0.03749824316970879
rad_long,0.03732148463055584
wind_gust,0.036704198259308554
soiltemp,0.02890333939421252
temp,0.026505797651799976
rad_diffuse,0.026476227298155255
wind_speed_max,0.023807081511995638
wind_speed,0.018943085255141722
rad_global,0.01888141870698793
wind_speed_min,0.014256319151930028
precip_dur,0.005857762167458561
precip,0.004973789394921821
precip_ind,0.0035569064113556686
sunshine,0.003165778016105115
