,importance
pressure,0.1612573625622509
temp_min,0.12860550060365428
wind_dir,0.10111929805020264
rad_global,0.09964750795543861
dewpoint,0.08849653291194978
humidity,0.07203047779101376
temp_max,0.0706406764340266
rad_long,0.056170257545062455
soiltemp,0.04955259603976598
rad_diffuse,0.03101772077984111
temp,0.026309143448028902
wind_gust,0.026187025040714792
wind_speed,0.026074706532064288
wind_speed_max,0.023914018587742947
wind_speed_min,0.021354658142565666
precip_dur,0.007873362453698348
precip_ind,0.0036650672980169234
sunshine,0.003395982068480793
precip,0.0026881057554811933
