,importance
soiltemp,0.2981913497928454
pressure,0.17259316713604822
humidity,0.13444344174195638
wind_dir,0.06332248769340647
rad_diffuse,0.05831061605766895
dewpoint,0.042643556982831
rad_global,0.038214777976516456
rad_long,0.03682885841895071
temp_min,0.022857221800871356
temp_max,0.02112077860740288
wind_speed_min,0.02007425359471236
wind_gust,0.01996346520083196
wind_speed_max,0.01987042003252022
wind_speed,0.0176151360015426
temp,0.012805517252333188
precip_dur,0.012579759020548167
precip_ind,0.0031990161209259045
sunshine,0.003114438251581848
precip,0.0022517383165059643
