,importance
rad_diffuse,0.39169921208494474
pressure,0.22443026774013478
soiltemp,0.06711446020726022
dewpoint,0.04904188159662603
wind_dir,0.03921885244048796
temp_max,0.03116976148522821
rad_long,0.03054138287279101
humidity,0.029664225419494046
temp_min,0.026720813845561398
wind_speed,0.022730713587676497
rad_global,0.018473114598692605
wind_speed_max,0.01825823452278354
temp,0.013517520388641962
wind_gust,0.01283034318564456
wind_speed_min,0.010642254727165894
precip_dur,0.005394644232514619
sunshine,0.003481755179372347
precip,0.0028189048529576764
precip_ind,0.0022516570320220176
